V1,V2
Y,893947.0
X,1012480.0
X,911458.0
X,1016540.0
X,924158.0
Y,1064741.0
Y,990419.0
Y,870787.0
X,1055640.0
Y,1081731.0
Y,962990.0
Y,875317.0
X,1068661.0
X,1003310.0
Y,888157.0
Y,889848.0
X,932958.0
X,1227565.0
Y,984000.0
Y,983859.0
X,1156234.0
Y,958809.0
Y,869238.0
X,1233314.0
X,1249645.0
X,1083051.0
X,1047920.0
Y,997640.0
Y,968599.0
X,1012420.0
X,1001910.0
Y,1124832.0
Y,1146542.0
Y,1033370.0
X,967459.0
Y,983519.0
Y,974429.0
Y,1450519.0
Y,899378.0
X,1040560.0
Y,1129892.0
Y,923048.0
X,1061811.0
X,1093512.0
X,1197614.0
X,1009510.0
Y,1213704.0
X,1291026.0
Y,952149.0
X,1025580.0
Y,1313396.0
X,922669.0
X,1144623.0
Y,1319786.0
Y,912427.0
Y,994659.0
X,1272845.0
X,1073532.0
X,1040540.0
X,1285726.0
X,1135352.0
Y,1372997.0
Y,1046541.0
X,951409.0
Y,1028841.0
X,1038720.0
X,1267025.0
Y,907548.0
Y,982550.0
X,1174093.0
Y,1011730.0
X,1191003.0
X,1218964.0
Y,1001609.0
X,1085961.0
X,1050911.0
Y,1168833.0
Y,981470.0
Y,1043421.0
Y,1033041.0
Y,912568.0
X,969489.0
X,998680.0
X,1169103.0
Y,1047910.0
Y,1064111.0
X,917418.0
X,961819.0
Y,1082782.0
X,1063521.0
X,909968.0
Y,1003690.0
X,1081862.0
Y,1101361.0
Y,901248.0
Y,1030040.0
Y,954389.0
X,1357047.0
Y,1066990.0
X,1027931.0
X,1100462.0
X,1030011.0
Y,1032080.0
X,1047961.0
Y,909538.0
X,1169463.0
Y,940889.0
Y,953849.0
Y,994549.0
X,1101342.0
X,1017230.0
Y,888018.0
X,1079721.0
Y,1041101.0
Y,913908.0
Y,1012700.0
Y,917878.0
X,1038491.0
X,920858.0
Y,989819.0
X,1237585.0
Y,903069.0
X,1008260.0
X,1039431.0
X,940868.0
Y,907738.0
Y,1030871.0
Y,1016491.0
X,924538.0
X,1051251.0
X,944948.0
X,1021089.0
Y,899878.0
Y,984130.0
X,1034351.0
Y,903828.0
X,1007740.0
X,1033021.0
Y,1181393.0
Y,986059.0
Y,1019530.0
X,1085121.0
Y,904908.0
Y,1176912.0
X,1325156.0
Y,907727.0
X,1020980.0
Y,1053291.0
Y,888718.0
Y,869287.0
Y,1058241.0
Y,982329.0
Y,933358.0
Y,969999.0
X,1043220.0
Y,895127.0
X,908668.0
X,1001360.0
Y,1037420.0
X,1116872.0
Y,977479.0
X,1051501.0
X,1032321.0
X,882617.0
Y,1006420.0
X,993369.0
X,1015570.0
X,932878.0
X,1410558.0
X,1147853.0
Y,897417.0
X,991099.0
X,1146992.0
X,897208.0
X,1065741.0
Y,1088422.0
X,1112912.0
X,1007630.0
X,1075801.0
X,912179.0
X,1003700.0
Y,1042281.0
X,1102582.0
Y,931348.0
Y,984959.0
Y,1048221.0
Y,888527.0
X,902788.0
Y,1008630.0
Y,1010700.0
Y,927059.0
Y,1446188.0
Y,1014021.0
X,1097282.0
X,936369.0
X,1043971.0
X,887707.0
X,904608.0
X,1043590.0
Y,1032331.0
Y,1021140.0
Y,869148.0
Y,973128.0
Y,1113432.0
Y,898857.0
X,1237675.0
X,1135813.0
X,1019561.0
Y,1008940.0
Y,996330.0
Y,1055440.0
Y,906868.0
X,927478.0
Y,1132592.0
Y,917138.0
Y,994310.0
X,1047300.0
Y,894017.0
X,928358.0
Y,1195124.0
Y,1012490.0
Y,965599.0
Y,1009900.0
X,1083431.0
X,935198.0
X,908548.0
Y,1133672.0
Y,972379.0
Y,948279.0
Y,1064601.0
X,1033060.0
Y,899998.0
Y,889898.0
X,1029641.0
Y,1210794.0
X,929499.0
X,1032961.0
Y,1023601.0
Y,1244994.0
Y,985879.0
Y,918878.0
Y,994010.0
X,925898.0
Y,1049231.0
Y,1177223.0
Y,962989.0
Y,1029801.0
Y,1041480.0
Y,895907.0
X,928198.0
Y,1203074.0
Y,1006060.0
X,1054751.0
X,980140.0
X,1083361.0
Y,908118.0
X,916508.0
X,1199003.0
Y,1140332.0
Y,923268.0
X,976969.0
X,1081962.0
